2.11706,8.65441
8.08467,0.88799
3.44426,9.93793
0.34263,6.51189
2.02432,0.771914
5.07211,3.55346
4.13376,3.87866
3.81992,6.28129
4.14912,3.69766
9.10369,5.10219
6.30502,5.82095
8.87419,4.06666
4.65805,1.3429
4.01943,6.66672
5.74311,2.3969
1.72897,8.47738
4.52295,1.91834
6.97521,3.50252
6.57343,9.73442
2.61213,5.71809
7.53661,1.5622
1.47712,4.79352
8.55924,1.7003
8.47563,4.64794
0.957786,6.01861
1.38249,9.50098
7.7648,2.40505
5.20696,6.46133
6.29928,6.1951
6.37409,3.25999
5.93414,8.92706
3.38426,6.79619
3.86083,7.98371
5.74892,7.35234
2.73416,0.537758
4.13552,4.14657
3.7824,0.504619
3.59173,9.15143
9.99335,1.86584
5.59658,4.74973
6.62269,9.70008
9.27779,5.84254
7.26152,4.96866
0.028282,7.32883
9.62301,7.45628
4.19004,4.0915
9.8902,1.49914
5.11961,9.31728
2.25017,1.22975
4.61951,6.11175
